DATE;HOUR;FACT
12.02.2015;0;79,44
12.02.2015;1;169,08
12.02.2015;2;760,32
12.02.2015;3;93,12
12.02.2015;4;304,92
12.02.2015;5;139,74
12.02.2015;6;212,16
12.02.2015;7;282,6
12.02.2015;8;120,3
12.02.2015;9;282,24
12.02.2015;10;344,76
12.02.2015;11;256,68
12.02.2015;12;405,3
12.02.2015;13;221,94
12.02.2015;14;321,96
12.02.2015;15;233,16
12.02.2015;16;219,18
12.02.2015;17;414,96
12.02.2015;18;160,32
12.02.2015;19;175,68
12.02.2015;20;275,88
12.02.2015;21;45,42
12.02.2015;22;114,78
12.02.2015;23;57,9
13.02.2015;0;75,3
13.02.2015;1;395,22
13.02.2015;2;304,44
13.02.2015;3;193,56
13.02.2015;4;143,16
13.02.2015;5;93,42
13.02.2015;6;38,7
13.02.2015;7;230,04
13.02.2015;8;245,7
13.02.2015;9;333,42
13.02.2015;10;302,7
13.02.2015;11;392,4
13.02.2015;12;178,92
13.02.2015;13;170,94
13.02.2015;14;221,64
13.02.2015;15;102,36
13.02.2015;16;173,4
13.02.2015;17;107,88
13.02.2015;18;272,22
13.02.2015;19;234,24
13.02.2015;20;168,96
13.02.2015;21;266,16
13.02.2015;22;372,84
13.02.2015;23;142,32
14.02.2015;0;299,82
14.02.2015;1;136,02
14.02.2015;2;271,44
14.02.2015;3;313,08
14.02.2015;4;216,3
14.02.2015;5;341,7
14.02.2015;6;138,18
14.02.2015;7;130,38
14.02.2015;8;163,44
14.02.2015;9;87
14.02.2015;10;154,38
14.02.2015;11;106,68
14.02.2015;12;249,96
14.02.2015;13;177,96
14.02.2015;14;264,48
14.02.2015;15;160,32
14.02.2015;16;91,2
14.02.2015;17;75,84
14.02.2015;18;134,1
14.02.2015;19;101,52
14.02.2015;20;46,38
14.02.2015;21;539,34
14.02.2015;22;88,2
14.02.2015;23;124,14
15.02.2015;0;324,18
15.02.2015;1;63,9
15.02.2015;2;128,1
15.02.2015;3;260,58
15.02.2015;4;143,52
15.02.2015;5;381,66
15.02.2015;6;104,4
15.02.2015;7;161,76
15.02.2015;8;307,62
15.02.2015;9;5,88
15.02.2015;10;77,22
15.02.2015;11;126,72
15.02.2015;12;65,58
15.02.2015;13;245,34
15.02.2015;14;26,76
15.02.2015;15;89,46
15.02.2015;16;117,9
15.02.2015;17;275,34
15.02.2015;18;55,98
15.02.2015;19;101,58
15.02.2015;20;169,02
15.02.2015;21;134,34
15.02.2015;22;287,34
15.02.2015;23;70,32
16.02.2015;0;274,08
16.02.2015;1;320,88
16.02.2015;2;180,9
16.02.2015;3;292,92
16.02.2015;4;147,42
16.02.2015;5;272,76
16.02.2015;6;248,64
16.02.2015;7;189,9
16.02.2015;8;280,98
16.02.2015;9;193,68
16.02.2015;10;319,2
16.02.2015;11;292,38
16.02.2015;12;298,44
16.02.2015;13;314,82
16.02.2015;14;196,98
16.02.2015;15;295,08
16.02.2015;16;165,12
16.02.2015;17;255,48
16.02.2015;18;155,28
16.02.2015;19;138,54
16.02.2015;20;138,3
16.02.2015;21;127,2
16.02.2015;22;133,26
16.02.2015;23;125,52
17.02.2015;0;193,02
17.02.2015;1;259,8
17.02.2015;2;262,56
17.02.2015;3;53,88
17.02.2015;4;92,34
17.02.2015;5;255,66
17.02.2015;6;188,76
17.02.2015;7;58,5
17.02.2015;8;182,28
17.02.2015;9;371,88
17.02.2015;10;128,7
17.02.2015;11;923,52
17.02.2015;12;2540,76
17.02.2015;13;2566,68
17.02.2015;14;215,58
17.02.2015;15;132,36
17.02.2015;16;307,26
17.02.2015;17;120,96
17.02.2015;18;135,54
17.02.2015;19;165,48
17.02.2015;20;189,06
17.02.2015;21;218,94
17.02.2015;22;336,42
17.02.2015;23;251,28
18.02.2015;0;280,44
18.02.2015;1;230,16
18.02.2015;2;383,16
18.02.2015;3;108,12
18.02.2015;4;367,62
18.02.2015;5;159
18.02.2015;6;237,06
18.02.2015;7;91,86
18.02.2015;8;272,28
18.02.2015;9;420,18
18.02.2015;10;217,8
18.02.2015;11;186,48
18.02.2015;12;123,72
18.02.2015;13;396,3
18.02.2015;14;440,82
18.02.2015;15;546,54
18.02.2015;16;134,04
18.02.2015;17;1133,52
18.02.2015;18;99,12
18.02.2015;19;201,36
18.02.2015;20;132,3
18.02.2015;21;222,12
18.02.2015;22;180
18.02.2015;23;279,9
19.02.2015;0;330,96
19.02.2015;1;160,14
19.02.2015;2;88,98
19.02.2015;3;497,88
19.02.2015;4;305,64
