DATE;HOUR;FACT;ID_COMPANY;ID_GTP;CITY_ID
01.01.2015;0;407,099;5;2;538560
01.01.2015;1;387,948;5;2;538560
01.01.2015;2;363,841;5;2;538560
01.01.2015;3;345,977;5;2;538560
01.01.2015;4;333,680;5;2;538560
01.01.2015;5;328,402;5;2;538560
01.01.2015;6;332,066;5;2;538560
01.01.2015;7;338,004;5;2;538560
01.01.2015;8;340,277;5;2;538560
01.01.2015;9;350,373;5;2;538560
01.01.2015;10;362,959;5;2;538560
01.01.2015;11;372,032;5;2;538560
01.01.2015;12;376,135;5;2;538560
01.01.2015;13;376,571;5;2;538560
01.01.2015;14;376,774;5;2;538560
01.01.2015;15;381,948;5;2;538560
01.01.2015;16;401,074;5;2;538560
01.01.2015;17;438,794;5;2;538560
01.01.2015;18;446,916;5;2;538560
01.01.2015;19;443,449;5;2;538560
01.01.2015;20;436,439;5;2;538560
01.01.2015;21;422,845;5;2;538560
01.01.2015;22;401,080;5;2;538560
01.01.2015;23;373,106;5;2;538560
02.01.2015;0;346,357;5;2;538560
02.01.2015;1;326,165;5;2;538560
02.01.2015;2;315,142;5;2;538560
02.01.2015;3;309,944;5;2;538560
02.01.2015;4;309,194;5;2;538560
02.01.2015;5;312,165;5;2;538560
02.01.2015;6;325,351;5;2;538560
02.01.2015;7;341,947;5;2;538560
02.01.2015;8;358,742;5;2;538560
02.01.2015;9;383,214;5;2;538560
02.01.2015;10;398,346;5;2;538560
02.01.2015;11;401,632;5;2;538560
02.01.2015;12;399,532;5;2;538560
02.01.2015;13;396,484;5;2;538560
02.01.2015;14;395,418;5;2;538560
02.01.2015;15;397,396;5;2;538560
02.01.2015;16;418,974;5;2;538560
02.01.2015;17;454,060;5;2;538560
02.01.2015;18;458,559;5;2;538560
02.01.2015;19;451,506;5;2;538560
02.01.2015;20;442,579;5;2;538560
02.01.2015;21;428,417;5;2;538560
02.01.2015;22;402,808;5;2;538560
02.01.2015;23;374,046;5;2;538560
03.01.2015;0;344,895;5;2;538560
03.01.2015;1;324,744;5;2;538560
03.01.2015;2;313,054;5;2;538560
03.01.2015;3;307,290;5;2;538560
03.01.2015;4;306,071;5;2;538560
03.01.2015;5;310,917;5;2;538560
03.01.2015;6;325,418;5;2;538560
03.01.2015;7;346,042;5;2;538560
03.01.2015;8;367,725;5;2;538560
03.01.2015;9;392,571;5;2;538560
03.01.2015;10;406,718;5;2;538560
03.01.2015;11;409,725;5;2;538560
03.01.2015;12;406,999;5;2;538560
03.01.2015;13;403,437;5;2;538560
03.01.2015;14;402,832;5;2;538560
03.01.2015;15;402,704;5;2;538560
03.01.2015;16;419,907;5;2;538560
03.01.2015;17;457,394;5;2;538560
03.01.2015;18;465,284;5;2;538560
03.01.2015;19;456,805;5;2;538560
03.01.2015;20;445,611;5;2;538560
03.01.2015;21;429,755;5;2;538560
03.01.2015;22;402,597;5;2;538560
03.01.2015;23;373,468;5;2;538560
04.01.2015;0;343,517;5;2;538560
04.01.2015;1;322,390;5;2;538560
04.01.2015;2;310,749;5;2;538560
04.01.2015;3;304,675;5;2;538560
04.01.2015;4;303,295;5;2;538560
04.01.2015;5;308,269;5;2;538560
