Дата;Местное время Тверь;Потребление факт, МВтч;;;
01.01.2018;00:00-01:00;561;01.01.2018;0;561
01.01.2018;01:00-02:00;547;01.01.2018;1;547
01.01.2018;02:00-03:00;526;01.01.2018;2;526
01.01.2018;03:00-04:00;507;01.01.2018;3;507
01.01.2018;04:00-05:00;492;01.01.2018;4;492
01.01.2018;05:00-06:00;487;01.01.2018;5;487
01.01.2018;06:00-07:00;487;01.01.2018;6;487
01.01.2018;07:00-08:00;491;01.01.2018;7;491
01.01.2018;08:00-09:00;495;01.01.2018;8;495
01.01.2018;09:00-10:00;491;01.01.2018;9;491
01.01.2018;10:00-11:00;512;01.01.2018;10;512
01.01.2018;11:00-12:00;530;01.01.2018;11;530
01.01.2018;12:00-13:00;541;01.01.2018;12;541
01.01.2018;13:00-14:00;544;01.01.2018;13;544
01.01.2018;14:00-15:00;548;01.01.2018;14;548
01.01.2018;15:00-16:00;557;01.01.2018;15;557
01.01.2018;16:00-17:00;592;01.01.2018;16;592
01.01.2018;17:00-18:00;624;01.01.2018;17;624
01.01.2018;18:00-19:00;627;01.01.2018;18;627
01.01.2018;19:00-20:00;626;01.01.2018;19;626
01.01.2018;20:00-21:00;620;01.01.2018;20;620
01.01.2018;21:00-22:00;607;01.01.2018;21;607
01.01.2018;22:00-23:00;585;01.01.2018;22;585
01.01.2018;23:00-24:00;557;01.01.2018;23;557
02.01.2018;00:00-01:00;526;02.01.2018;0;526
02.01.2018;01:00-02:00;498;02.01.2018;1;498
02.01.2018;02:00-03:00;481;02.01.2018;2;481
02.01.2018;03:00-04:00;472;02.01.2018;3;472
02.01.2018;04:00-05:00;470;02.01.2018;4;470
02.01.2018;05:00-06:00;477;02.01.2018;5;477
02.01.2018;06:00-07:00;488;02.01.2018;6;488
02.01.2018;07:00-08:00;507;02.01.2018;7;507
02.01.2018;08:00-09:00;533;02.01.2018;8;533
02.01.2018;09:00-10:00;550;02.01.2018;9;550
02.01.2018;10:00-11:00;575;02.01.2018;10;575
02.01.2018;11:00-12:00;590;02.01.2018;11;590
02.01.2018;12:00-13:00;594;02.01.2018;12;594
02.01.2018;13:00-14:00;590;02.01.2018;13;590
02.01.2018;14:00-15:00;586;02.01.2018;14;586
02.01.2018;15:00-16:00;589;02.01.2018;15;589
02.01.2018;16:00-17:00;622;02.01.2018;16;622
02.01.2018;17:00-18:00;652;02.01.2018;17;652
02.01.2018;18:00-19:00;651;02.01.2018;18;651
02.01.2018;19:00-20:00;644;02.01.2018;19;644
02.01.2018;20:00-21:00;637;02.01.2018;20;637
02.01.2018;21:00-22:00;618;02.01.2018;21;618
02.01.2018;22:00-23:00;587;02.01.2018;22;587
