Дата;Местное время Тверь;Потребление факт, МВтч;;;
02.01.2018;23:00-24:00;555;02.01.2018;23;555
03.01.2018;00:00-01:00;523;03.01.2018;0;523
03.01.2018;01:00-02:00;496;03.01.2018;1;496
03.01.2018;02:00-03:00;479;03.01.2018;2;479
03.01.2018;03:00-04:00;471;03.01.2018;3;471
03.01.2018;04:00-05:00;469;03.01.2018;4;469
03.01.2018;05:00-06:00;478;03.01.2018;5;478
03.01.2018;06:00-07:00;496;03.01.2018;6;496
03.01.2018;07:00-08:00;525;03.01.2018;7;525
03.01.2018;08:00-09:00;562;03.01.2018;8;562
03.01.2018;09:00-10:00;583;03.01.2018;9;583
03.01.2018;10:00-11:00;609;03.01.2018;10;609
03.01.2018;11:00-12:00;622;03.01.2018;11;622
03.01.2018;12:00-13:00;620;03.01.2018;12;620
03.01.2018;13:00-14:00;615;03.01.2018;13;615
03.01.2018;14:00-15:00;612;03.01.2018;14;612
03.01.2018;15:00-16:00;612;03.01.2018;15;612
03.01.2018;16:00-17:00;641;03.01.2018;16;641
03.01.2018;17:00-18:00;672;03.01.2018;17;672
03.01.2018;18:00-19:00;670;03.01.2018;18;670
03.01.2018;19:00-20:00;660;03.01.2018;19;660
03.01.2018;20:00-21:00;650;03.01.2018;20;650
03.01.2018;21:00-22:00;628;03.01.2018;21;628
03.01.2018;22:00-23:00;597;03.01.2018;22;597
03.01.2018;23:00-24:00;563;03.01.2018;23;563
04.01.2018;00:00-01:00;528;04.01.2018;0;528
04.01.2018;01:00-02:00;498;04.01.2018;1;498
04.01.2018;02:00-03:00;481;04.01.2018;2;481
04.01.2018;03:00-04:00;473;04.01.2018;3;473
04.01.2018;04:00-05:00;472;04.01.2018;4;472
04.01.2018;05:00-06:00;481;04.01.2018;5;481
04.01.2018;06:00-07:00;499;04.01.2018;6;499
04.01.2018;07:00-08:00;530;04.01.2018;7;530
04.01.2018;08:00-09:00;568;04.01.2018;8;568
04.01.2018;09:00-10:00;591;04.01.2018;9;591
04.01.2018;10:00-11:00;617;04.01.2018;10;617
04.01.2018;11:00-12:00;631;04.01.2018;11;631
04.01.2018;12:00-13:00;628;04.01.2018;12;628
04.01.2018;13:00-14:00;621;04.01.2018;13;621
04.01.2018;14:00-15:00;622;04.01.2018;14;622
04.01.2018;15:00-16:00;630;04.01.2018;15;630
04.01.2018;16:00-17:00;658;04.01.2018;16;658
04.01.2018;17:00-18:00;680;04.01.2018;17;680
04.01.2018;18:00-19:00;677;04.01.2018;18;677
04.01.2018;19:00-20:00;666;04.01.2018;19;666
04.01.2018;20:00-21:00;658;04.01.2018;20;658
04.01.2018;21:00-22:00;637;04.01.2018;21;637
04.01.2018;22:00-23:00;606;04.01.2018;22;606
04.01.2018;23:00-24:00;569;04.01.2018;23;569
05.01.2018;00:00-01:00;533;05.01.2018;0;533
05.01.2018;01:00-02:00;504;05.01.2018;1;504
05.01.2018;02:00-03:00;487;05.01.2018;2;487
05.01.2018;03:00-04:00;479;05.01.2018;3;479
05.01.2018;04:00-05:00;477;05.01.2018;4;477
05.01.2018;05:00-06:00;486;05.01.2018;5;486
05.01.2018;06:00-07:00;507;05.01.2018;6;507
05.01.2018;07:00-08:00;538;05.01.2018;7;538
05.01.2018;08:00-09:00;574;05.01.2018;8;574
05.01.2018;09:00-10:00;596;05.01.2018;9;596
05.01.2018;10:00-11:00;622;05.01.2018;10;622
05.01.2018;11:00-12:00;633;05.01.2018;11;633
05.01.2018;12:00-13:00;632;05.01.2018;12;632
05.01.2018;13:00-14:00;627;05.01.2018;13;627
05.01.2018;14:00-15:00;627;05.01.2018;14;627
05.01.2018;15:00-16:00;631;05.01.2018;15;631
05.01.2018;16:00-17:00;659;05.01.2018;16;659
05.01.2018;17:00-18:00;685;05.01.2018;17;685
05.01.2018;18:00-19:00;683;05.01.2018;18;683
05.01.2018;19:00-20:00;672;05.01.2018;19;672
05.01.2018;20:00-21:00;662;05.01.2018;20;662
05.01.2018;21:00-22:00;644;05.01.2018;21;644
05.01.2018;22:00-23:00;612;05.01.2018;22;612
05.01.2018;23:00-24:00;577;05.01.2018;23;577
06.01.2018;00:00-01:00;541;06.01.2018;0;541
06.01.2018;01:00-02:00;512;06.01.2018;1;512
06.01.2018;02:00-03:00;495;06.01.2018;2;495
06.01.2018;03:00-04:00;486;06.01.2018;3;486
06.01.2018;04:00-05:00;484;06.01.2018;4;484
06.01.2018;05:00-06:00;493;06.01.2018;5;493
06.01.2018;06:00-07:00;510;06.01.2018;6;510
06.01.2018;07:00-08:00;535;06.01.2018;7;535
06.01.2018;08:00-09:00;568;06.01.2018;8;568
06.01.2018;09:00-10:00;588;06.01.2018;9;588
06.01.2018;10:00-11:00;614;06.01.2018;10;614
06.01.2018;11:00-12:00;625;06.01.2018;11;625
06.01.2018;12:00-13:00;627;06.01.2018;12;627
06.01.2018;13:00-14:00;628;06.01.2018;13;628
06.01.2018;14:00-15:00;626;06.01.2018;14;626
06.01.2018;15:00-16:00;626;06.01.2018;15;626
06.01.2018;16:00-17:00;653;06.01.2018;16;653
06.01.2018;17:00-18:00;681;06.01.2018;17;681
06.01.2018;18:00-19:00;677;06.01.2018;18;677
06.01.2018;19:00-20:00;665;06.01.2018;19;665
06.01.2018;20:00-21:00;650;06.01.2018;20;650
06.01.2018;21:00-22:00;630;06.01.2018;21;630
06.01.2018;22:00-23:00;600;06.01.2018;22;600
06.01.2018;23:00-24:00;565;06.01.2018;23;565
07.01.2018;00:00-01:00;529;07.01.2018;0;529
07.01.2018;01:00-02:00;505;07.01.2018;1;505
07.01.2018;02:00-03:00;487;07.01.2018;2;487
07.01.2018;03:00-04:00;478;07.01.2018;3;478
07.01.2018;04:00-05:00;474;07.01.2018;4;474
07.01.2018;05:00-06:00;478;07.01.2018;5;478
07.01.2018;06:00-07:00;491;07.01.2018;6;491
07.01.2018;07:00-08:00;509;07.01.2018;7;509
07.01.2018;08:00-09:00;532;07.01.2018;8;532
07.01.2018;09:00-10:00;544;07.01.2018;9;544
07.01.2018;10:00-11:00;567;07.01.2018;10;567
07.01.2018;11:00-12:00;580;07.01.2018;11;580
07.01.2018;12:00-13:00;584;07.01.2018;12;584
07.01.2018;13:00-14:00;588;07.01.2018;13;588
07.01.2018;14:00-15:00;580;07.01.2018;14;580
07.01.2018;15:00-16:00;580;07.01.2018;15;580
07.01.2018;16:00-17:00;606;07.01.2018;16;606
07.01.2018;17:00-18:00;647;07.01.2018;17;647
07.01.2018;18:00-19:00;653;07.01.2018;18;653
07.01.2018;19:00-20:00;649;07.01.2018;19;649
07.01.2018;20:00-21:00;643;07.01.2018;20;643
07.01.2018;21:00-22:00;627;07.01.2018;21;627
07.01.2018;22:00-23:00;599;07.01.2018;22;599
07.01.2018;23:00-24:00;566;07.01.2018;23;566
08.01.2018;00:00-01:00;532;08.01.2018;0;532
08.01.2018;01:00-02:00;507;08.01.2018;1;507
08.01.2018;02:00-03:00;491;08.01.2018;2;491
08.01.2018;03:00-04:00;485;08.01.2018;3;485
08.01.2018;04:00-05:00;485;08.01.2018;4;485
08.01.2018;05:00-06:00;493;08.01.2018;5;493
08.01.2018;06:00-07:00;511;08.01.2018;6;511
08.01.2018;07:00-08:00;539;08.01.2018;7;539
08.01.2018;08:00-09:00;575;08.01.2018;8;575
08.01.2018;09:00-10:00;596;08.01.2018;9;596
08.01.2018;10:00-11:00;622;08.01.2018;10;622
08.01.2018;11:00-12:00;635;08.01.2018;11;635
08.01.2018;12:00-13:00;636;08.01.2018;12;636
08.01.2018;13:00-14:00;637;08.01.2018;13;637
08.01.2018;14:00-15:00;633;08.01.2018;14;633
08.01.2018;15:00-16:00;635;08.01.2018;15;635
08.01.2018;16:00-17:00;659;08.01.2018;16;659
08.01.2018;17:00-18:00;696;08.01.2018;17;696
08.01.2018;18:00-19:00;699;08.01.2018;18;699
08.01.2018;19:00-20:00;689;08.01.2018;19;689
08.01.2018;20:00-21:00;676;08.01.2018;20;676
08.01.2018;21:00-22:00;653;08.01.2018;21;653
08.01.2018;22:00-23:00;615;08.01.2018;22;615
08.01.2018;23:00-24:00;575;08.01.2018;23;575
09.01.2018;00:00-01:00;541;09.01.2018;0;541
09.01.2018;01:00-02:00;514;09.01.2018;1;514
09.01.2018;02:00-03:00;501;09.01.2018;2;501
09.01.2018;03:00-04:00;497;09.01.2018;3;497
09.01.2018;04:00-05:00;502;09.01.2018;4;502
09.01.2018;05:00-06:00;523;09.01.2018;5;523
09.01.2018;06:00-07:00;572;09.01.2018;6;572
09.01.2018;07:00-08:00;636;09.01.2018;7;636
09.01.2018;08:00-09:00;698;09.01.2018;8;698
09.01.2018;09:00-10:00;722;09.01.2018;9;722
09.01.2018;10:00-11:00;729;09.01.2018;10;729
09.01.2018;11:00-12:00;727;09.01.2018;11;727
09.01.2018;12:00-13:00;712;09.01.2018;12;712
09.01.2018;13:00-14:00;720;09.01.2018;13;720
09.01.2018;14:00-15:00;719;09.01.2018;14;719
09.01.2018;15:00-16:00;720;09.01.2018;15;720
09.01.2018;16:00-17:00;737;09.01.2018;16;737
09.01.2018;17:00-18:00;766;09.01.2018;17;766
09.01.2018;18:00-19:00;762;09.01.2018;18;762
09.01.2018;19:00-20:00;750;09.01.2018;19;750
09.01.2018;20:00-21:00;731;09.01.2018;20;731
09.01.2018;21:00-22:00;700;09.01.2018;21;700
09.01.2018;22:00-23:00;656;09.01.2018;22;656
09.01.2018;23:00-24:00;610;09.01.2018;23;610
10.01.2018;00:00-01:00;572;10.01.2018;0;572
10.01.2018;01:00-02:00;548;10.01.2018;1;548
10.01.2018;02:00-03:00;538;10.01.2018;2;538
10.01.2018;03:00-04:00;532;10.01.2018;3;532
10.01.2018;04:00-05:00;534;10.01.2018;4;534
10.01.2018;05:00-06:00;551;10.01.2018;5;551
10.01.2018;06:00-07:00;598;10.01.2018;6;598
10.01.2018;07:00-08:00;660;10.01.2018;7;660
10.01.2018;08:00-09:00;715;10.01.2018;8;715
10.01.2018;09:00-10:00;731;10.01.2018;9;731
10.01.2018;10:00-11:00;734;10.01.2018;10;734
10.01.2018;11:00-12:00;726;10.01.2018;11;726
10.01.2018;12:00-13:00;707;10.01.2018;12;707
10.01.2018;13:00-14:00;713;10.01.2018;13;713
10.01.2018;14:00-15:00;712;10.01.2018;14;712
10.01.2018;15:00-16:00;713;10.01.2018;15;713
10.01.2018;16:00-17:00;729;10.01.2018;16;729
10.01.2018;17:00-18:00;758;10.01.2018;17;758
10.01.2018;18:00-19:00;758;10.01.2018;18;758
10.01.2018;19:00-20:00;746;10.01.2018;19;746
10.01.2018;20:00-21:00;730;10.01.2018;20;730
10.01.2018;21:00-22:00;700;10.01.2018;21;700
10.01.2018;22:00-23:00;653;10.01.2018;22;653
10.01.2018;23:00-24:00;606;10.01.2018;23;606
11.01.2018;00:00-01:00;571;11.01.2018;0;571
11.01.2018;01:00-02:00;548;11.01.2018;1;548
11.01.2018;02:00-03:00;538;11.01.2018;2;538
11.01.2018;03:00-04:00;535;11.01.2018;3;535
11.01.2018;04:00-05:00;541;11.01.2018;4;541
11.01.2018;05:00-06:00;561;11.01.2018;5;561
11.01.2018;06:00-07:00;609;11.01.2018;6;609
11.01.2018;07:00-08:00;675;11.01.2018;7;675
11.01.2018;08:00-09:00;733;11.01.2018;8;733
11.01.2018;09:00-10:00;748;11.01.2018;9;748
11.01.2018;10:00-11:00;745;11.01.2018;10;745
11.01.2018;11:00-12:00;739;11.01.2018;11;739
11.01.2018;12:00-13:00;724;11.01.2018;12;724
11.01.2018;13:00-14:00;731;11.01.2018;13;731
11.01.2018;14:00-15:00;727;11.01.2018;14;727
11.01.2018;15:00-16:00;724;11.01.2018;15;724
11.01.2018;16:00-17:00;737;11.01.2018;16;737
11.01.2018;17:00-18:00;767;11.01.2018;17;767
11.01.2018;18:00-19:00;767;11.01.2018;18;767
11.01.2018;19:00-20:00;756;11.01.2018;19;756
11.01.2018;20:00-21:00;739;11.01.2018;20;739
11.01.2018;21:00-22:00;713;11.01.2018;21;713
11.01.2018;22:00-23:00;667;11.01.2018;22;667
11.01.2018;23:00-24:00;618;11.01.2018;23;618
12.01.2018;00:00-01:00;579;12.01.2018;0;579
12.01.2018;01:00-02:00;556;12.01.2018;1;556
12.01.2018;02:00-03:00;547;12.01.2018;2;547
12.01.2018;03:00-04:00;544;12.01.2018;3;544
12.01.2018;04:00-05:00;548;12.01.2018;4;548
12.01.2018;05:00-06:00;568;12.01.2018;5;568
12.01.2018;06:00-07:00;618;12.01.2018;6;618
12.01.2018;07:00-08:00;687;12.01.2018;7;687
12.01.2018;08:00-09:00;743;12.01.2018;8;743
12.01.2018;09:00-10:00;760;12.01.2018;9;760
12.01.2018;10:00-11:00;761;12.01.2018;10;761
12.01.2018;11:00-12:00;756;12.01.2018;11;756
12.01.2018;12:00-13:00;742;12.01.2018;12;742
12.01.2018;13:00-14:00;744;12.01.2018;13;744
12.01.2018;14:00-15:00;741;12.01.2018;14;741
12.01.2018;15:00-16:00;741;12.01.2018;15;741
12.01.2018;16:00-17:00;752;12.01.2018;16;752
12.01.2018;17:00-18:00;781;12.01.2018;17;781
12.01.2018;18:00-19:00;781;12.01.2018;18;781
12.01.2018;19:00-20:00;767;12.01.2018;19;767
12.01.2018;20:00-21:00;751;12.01.2018;20;751
12.01.2018;21:00-22:00;724;12.01.2018;21;724
12.01.2018;22:00-23:00;684;12.01.2018;22;684
12.01.2018;23:00-24:00;637;12.01.2018;23;637
13.01.2018;00:00-01:00;594;13.01.2018;0;594
13.01.2018;01:00-02:00;569;13.01.2018;1;569
13.01.2018;02:00-03:00;555;13.01.2018;2;555
13.01.2018;03:00-04:00;548;13.01.2018;3;548
13.01.2018;04:00-05:00;548;13.01.2018;4;548
13.01.2018;05:00-06:00;557;13.01.2018;5;557
13.01.2018;06:00-07:00;577;13.01.2018;6;577
13.01.2018;07:00-08:00;613;13.01.2018;7;613
13.01.2018;08:00-09:00;651;13.01.2018;8;651
13.01.2018;09:00-10:00;670;13.01.2018;9;670
13.01.2018;10:00-11:00;688;13.01.2018;10;688
13.01.2018;11:00-12:00;694;13.01.2018;11;694
13.01.2018;12:00-13:00;693;13.01.2018;12;693
13.01.2018;13:00-14:00;687;13.01.2018;13;687
13.01.2018;14:00-15:00;682;13.01.2018;14;682
13.01.2018;15:00-16:00;679;13.01.2018;15;679
13.01.2018;16:00-17:00;703;13.01.2018;16;703
13.01.2018;17:00-18:00;746;13.01.2018;17;746
13.01.2018;18:00-19:00;746;13.01.2018;18;746
13.01.2018;19:00-20:00;734;13.01.2018;19;734
13.01.2018;20:00-21:00;718;13.01.2018;20;718
13.01.2018;21:00-22:00;698;13.01.2018;21;698
13.01.2018;22:00-23:00;668;13.01.2018;22;668
13.01.2018;23:00-24:00;633;13.01.2018;23;633
14.01.2018;00:00-01:00;599;14.01.2018;0;599
14.01.2018;01:00-02:00;572;14.01.2018;1;572
14.01.2018;02:00-03:00;558;14.01.2018;2;558
14.01.2018;03:00-04:00;549;14.01.2018;3;549
14.01.2018;04:00-05:00;545;14.01.2018;4;545
14.01.2018;05:00-06:00;553;14.01.2018;5;553
14.01.2018;06:00-07:00;568;14.01.2018;6;568
14.01.2018;07:00-08:00;591;14.01.2018;7;591
14.01.2018;08:00-09:00;620;14.01.2018;8;620
14.01.2018;09:00-10:00;640;14.01.2018;9;640
14.01.2018;10:00-11:00;665;14.01.2018;10;665
14.01.2018;11:00-12:00;675;14.01.2018;11;675
14.01.2018;12:00-13:00;673;14.01.2018;12;673
14.01.2018;13:00-14:00;670;14.01.2018;13;670
14.01.2018;14:00-15:00;665;14.01.2018;14;665
14.01.2018;15:00-16:00;665;14.01.2018;15;665
14.01.2018;16:00-17:00;687;14.01.2018;16;687
14.01.2018;17:00-18:00;729;14.01.2018;17;729
14.01.2018;18:00-19:00;732;14.01.2018;18;732
14.01.2018;19:00-20:00;725;14.01.2018;19;725
14.01.2018;20:00-21:00;715;14.01.2018;20;715
14.01.2018;21:00-22:00;692;14.01.2018;21;692
14.01.2018;22:00-23:00;650;14.01.2018;22;650
14.01.2018;23:00-24:00;608;14.01.2018;23;608
15.01.2018;00:00-01:00;571;15.01.2018;0;571
15.01.2018;01:00-02:00;548;15.01.2018;1;548
15.01.2018;02:00-03:00;538;15.01.2018;2;538
15.01.2018;03:00-04:00;535;15.01.2018;3;535
15.01.2018;04:00-05:00;540;15.01.2018;4;540
15.01.2018;05:00-06:00;564;15.01.2018;5;564
15.01.2018;06:00-07:00;619;15.01.2018;6;619
15.01.2018;07:00-08:00;689;15.01.2018;7;689
15.01.2018;08:00-09:00;746;15.01.2018;8;746
15.01.2018;09:00-10:00;767;15.01.2018;9;767
15.01.2018;10:00-11:00;768;15.01.2018;10;768
15.01.2018;11:00-12:00;761;15.01.2018;11;761
15.01.2018;12:00-13:00;743;15.01.2018;12;743
15.01.2018;13:00-14:00;747;15.01.2018;13;747
15.01.2018;14:00-15:00;742;15.01.2018;14;742
15.01.2018;15:00-16:00;739;15.01.2018;15;739
15.01.2018;16:00-17:00;745;15.01.2018;16;745
15.01.2018;17:00-18:00;773;15.01.2018;17;773
15.01.2018;18:00-19:00;771;15.01.2018;18;771
15.01.2018;19:00-20:00;761;15.01.2018;19;761
15.01.2018;20:00-21:00;744;15.01.2018;20;744
15.01.2018;21:00-22:00;717;15.01.2018;21;717
15.01.2018;22:00-23:00;672;15.01.2018;22;672
15.01.2018;23:00-24:00;624;15.01.2018;23;624
16.01.2018;00:00-01:00;583;16.01.2018;0;583
16.01.2018;01:00-02:00;560;16.01.2018;1;560
16.01.2018;02:00-03:00;551;16.01.2018;2;551
16.01.2018;03:00-04:00;550;16.01.2018;3;550
16.01.2018;04:00-05:00;554;16.01.2018;4;554
16.01.2018;05:00-06:00;577;16.01.2018;5;577
16.01.2018;06:00-07:00;628;16.01.2018;6;628
16.01.2018;07:00-08:00;697;16.01.2018;7;697
16.01.2018;08:00-09:00;753;16.01.2018;8;753
16.01.2018;09:00-10:00;770;16.01.2018;9;770
16.01.2018;10:00-11:00;767;16.01.2018;10;767
16.01.2018;11:00-12:00;763;16.01.2018;11;763
16.01.2018;12:00-13:00;747;16.01.2018;12;747
16.01.2018;13:00-14:00;751;16.01.2018;13;751
16.01.2018;14:00-15:00;745;16.01.2018;14;745
16.01.2018;15:00-16:00;739;16.01.2018;15;739
16.01.2018;16:00-17:00;747;16.01.2018;16;747
16.01.2018;17:00-18:00;782;16.01.2018;17;782
16.01.2018;18:00-19:00;787;16.01.2018;18;787
16.01.2018;19:00-20:00;777;16.01.2018;19;777
16.01.2018;20:00-21:00;763;16.01.2018;20;763
16.01.2018;21:00-22:00;734;16.01.2018;21;734
16.01.2018;22:00-23:00;684;16.01.2018;22;684
16.01.2018;23:00-24:00;639;16.01.2018;23;639
17.01.2018;00:00-01:00;602;17.01.2018;0;602
17.01.2018;01:00-02:00;582;17.01.2018;1;582
17.01.2018;02:00-03:00;569;17.01.2018;2;569
17.01.2018;03:00-04:00;565;17.01.2018;3;565
17.01.2018;04:00-05:00;572;17.01.2018;4;572
17.01.2018;05:00-06:00;588;17.01.2018;5;588
17.01.2018;06:00-07:00;641;17.01.2018;6;641
17.01.2018;07:00-08:00;711;17.01.2018;7;711
17.01.2018;08:00-09:00;765;17.01.2018;8;765
17.01.2018;09:00-10:00;783;17.01.2018;9;783
17.01.2018;10:00-11:00;783;17.01.2018;10;783
17.01.2018;11:00-12:00;779;17.01.2018;11;779
17.01.2018;12:00-13:00;761;17.01.2018;12;761
17.01.2018;13:00-14:00;766;17.01.2018;13;766
17.01.2018;14:00-15:00;761;17.01.2018;14;761
17.01.2018;15:00-16:00;756;17.01.2018;15;756
17.01.2018;16:00-17:00;761;17.01.2018;16;761
17.01.2018;17:00-18:00;791;17.01.2018;17;791
17.01.2018;18:00-19:00;795;17.01.2018;18;795
17.01.2018;19:00-20:00;781;17.01.2018;19;781
17.01.2018;20:00-21:00;765;17.01.2018;20;765
17.01.2018;21:00-22:00;736;17.01.2018;21;736
17.01.2018;22:00-23:00;691;17.01.2018;22;691
17.01.2018;23:00-24:00;640;17.01.2018;23;640
18.01.2018;00:00-01:00;600;18.01.2018;0;600
18.01.2018;01:00-02:00;580;18.01.2018;1;580
18.01.2018;02:00-03:00;569;18.01.2018;2;569
18.01.2018;03:00-04:00;565;18.01.2018;3;565
18.01.2018;04:00-05:00;571;18.01.2018;4;571
18.01.2018;05:00-06:00;591;18.01.2018;5;591
18.01.2018;06:00-07:00;644;18.01.2018;6;644
18.01.2018;07:00-08:00;713;18.01.2018;7;713
18.01.2018;08:00-09:00;767;18.01.2018;8;767
18.01.2018;09:00-10:00;781;18.01.2018;9;781
18.01.2018;10:00-11:00;781;18.01.2018;10;781
18.01.2018;11:00-12:00;776;18.01.2018;11;776
18.01.2018;12:00-13:00;760;18.01.2018;12;760
18.01.2018;13:00-14:00;769;18.01.2018;13;769
18.01.2018;14:00-15:00;763;18.01.2018;14;763
18.01.2018;15:00-16:00;759;18.01.2018;15;759
18.01.2018;16:00-17:00;765;18.01.2018;16;765
18.01.2018;17:00-18:00;787;18.01.2018;17;787
18.01.2018;18:00-19:00;786;18.01.2018;18;786
18.01.2018;19:00-20:00;776;18.01.2018;19;776
18.01.2018;20:00-21:00;761;18.01.2018;20;761
18.01.2018;21:00-22:00;730;18.01.2018;21;730
18.01.2018;22:00-23:00;685;18.01.2018;22;685
18.01.2018;23:00-24:00;641;18.01.2018;23;641
19.01.2018;00:00-01:00;602;19.01.2018;0;602
19.01.2018;01:00-02:00;577;19.01.2018;1;577
19.01.2018;02:00-03:00;565;19.01.2018;2;565
19.01.2018;03:00-04:00;559;19.01.2018;3;559
19.01.2018;04:00-05:00;564;19.01.2018;4;564
19.01.2018;05:00-06:00;585;19.01.2018;5;585
19.01.2018;06:00-07:00;637;19.01.2018;6;637
19.01.2018;07:00-08:00;702;19.01.2018;7;702
19.01.2018;08:00-09:00;752;19.01.2018;8;752
19.01.2018;09:00-10:00;767;19.01.2018;9;767
19.01.2018;10:00-11:00;766;19.01.2018;10;766
19.01.2018;11:00-12:00;761;19.01.2018;11;761
19.01.2018;12:00-13:00;744;19.01.2018;12;744
19.01.2018;13:00-14:00;749;19.01.2018;13;749
19.01.2018;14:00-15:00;746;19.01.2018;14;746
19.01.2018;15:00-16:00;743;19.01.2018;15;743
19.01.2018;16:00-17:00;745;19.01.2018;16;745
19.01.2018;17:00-18:00;776;19.01.2018;17;776
19.01.2018;18:00-19:00;778;19.01.2018;18;778
19.01.2018;19:00-20:00;768;19.01.2018;19;768
19.01.2018;20:00-21:00;752;19.01.2018;20;752
19.01.2018;21:00-22:00;730;19.01.2018;21;730
19.01.2018;22:00-23:00;687;19.01.2018;22;687
19.01.2018;23:00-24:00;645;19.01.2018;23;645
20.01.2018;00:00-01:00;608;20.01.2018;0;608
20.01.2018;01:00-02:00;584;20.01.2018;1;584
20.01.2018;02:00-03:00;571;20.01.2018;2;571
20.01.2018;03:00-04:00;564;20.01.2018;3;564
20.01.2018;04:00-05:00;564;20.01.2018;4;564
20.01.2018;05:00-06:00;575;20.01.2018;5;575
20.01.2018;06:00-07:00;596;20.01.2018;6;596
20.01.2018;07:00-08:00;631;20.01.2018;7;631
20.01.2018;08:00-09:00;668;20.01.2018;8;668
20.01.2018;09:00-10:00;692;20.01.2018;9;692
20.01.2018;10:00-11:00;707;20.01.2018;10;707
20.01.2018;11:00-12:00;712;20.01.2018;11;712
20.01.2018;12:00-13:00;706;20.01.2018;12;706
20.01.2018;13:00-14:00;700;20.01.2018;13;700
20.01.2018;14:00-15:00;695;20.01.2018;14;695
20.01.2018;15:00-16:00;694;20.01.2018;15;694
20.01.2018;16:00-17:00;709;20.01.2018;16;709
20.01.2018;17:00-18:00;754;20.01.2018;17;754
20.01.2018;18:00-19:00;761;20.01.2018;18;761
20.01.2018;19:00-20:00;747;20.01.2018;19;747
20.01.2018;20:00-21:00;732;20.01.2018;20;732
20.01.2018;21:00-22:00;710;20.01.2018;21;710
20.01.2018;22:00-23:00;677;20.01.2018;22;677
20.01.2018;23:00-24:00;644;20.01.2018;23;644
21.01.2018;00:00-01:00;608;21.01.2018;0;608
21.01.2018;01:00-02:00;580;21.01.2018;1;580
21.01.2018;02:00-03:00;567;21.01.2018;2;567
21.01.2018;03:00-04:00;561;21.01.2018;3;561
21.01.2018;04:00-05:00;561;21.01.2018;4;561
21.01.2018;05:00-06:00;569;21.01.2018;5;569
21.01.2018;06:00-07:00;584;21.01.2018;6;584
21.01.2018;07:00-08:00;608;21.01.2018;7;608
21.01.2018;08:00-09:00;637;21.01.2018;8;637
21.01.2018;09:00-10:00;664;21.01.2018;9;664
21.01.2018;10:00-11:00;686;21.01.2018;10;686
21.01.2018;11:00-12:00;693;21.01.2018;11;693
21.01.2018;12:00-13:00;687;21.01.2018;12;687
21.01.2018;13:00-14:00;683;21.01.2018;13;683
21.01.2018;14:00-15:00;678;21.01.2018;14;678
21.01.2018;15:00-16:00;676;21.01.2018;15;676
21.01.2018;16:00-17:00;693;21.01.2018;16;693
