Дата;Местное время Тверь;Потребление факт, МВтч;;;
19.03.2017;21:00-22:00;655;19.03.2017;21;655
19.03.2017;22:00-23:00;609;19.03.2017;22;609
19.03.2017;23:00-24:00;566;19.03.2017;23;566
20.03.2017;00:00-01:00;531;20.03.2017;0;531
20.03.2017;01:00-02:00;510;20.03.2017;1;510
20.03.2017;02:00-03:00;503;20.03.2017;2;503
20.03.2017;03:00-04:00;499;20.03.2017;3;499
20.03.2017;04:00-05:00;502;20.03.2017;4;502
20.03.2017;05:00-06:00;525;20.03.2017;5;525
20.03.2017;06:00-07:00;572;20.03.2017;6;572
20.03.2017;07:00-08:00;626;20.03.2017;7;626
20.03.2017;08:00-09:00;682;20.03.2017;8;682
20.03.2017;09:00-10:00;717;20.03.2017;9;717
20.03.2017;10:00-11:00;725;20.03.2017;10;725
20.03.2017;11:00-12:00;715;20.03.2017;11;715
20.03.2017;12:00-13:00;696;20.03.2017;12;696
20.03.2017;13:00-14:00;703;20.03.2017;13;703
20.03.2017;14:00-15:00;697;20.03.2017;14;697
20.03.2017;15:00-16:00;686;20.03.2017;15;686
20.03.2017;16:00-17:00;670;20.03.2017;16;670
20.03.2017;17:00-18:00;659;20.03.2017;17;659
20.03.2017;18:00-19:00;673;20.03.2017;18;673
20.03.2017;19:00-20:00;713;20.03.2017;19;713
20.03.2017;20:00-21:00;707;20.03.2017;20;707
20.03.2017;21:00-22:00;675;20.03.2017;21;675
20.03.2017;22:00-23:00;625;20.03.2017;22;625
20.03.2017;23:00-24:00;574;20.03.2017;23;574
21.03.2017;00:00-01:00;535;21.03.2017;0;535
21.03.2017;01:00-02:00;516;21.03.2017;1;516
21.03.2017;02:00-03:00;508;21.03.2017;2;508
21.03.2017;03:00-04:00;511;21.03.2017;3;511
21.03.2017;04:00-05:00;521;21.03.2017;4;521
21.03.2017;05:00-06:00;542;21.03.2017;5;542
21.03.2017;06:00-07:00;578;21.03.2017;6;578
21.03.2017;07:00-08:00;620;21.03.2017;7;620
21.03.2017;08:00-09:00;677;21.03.2017;8;677
21.03.2017;09:00-10:00;714;21.03.2017;9;714
21.03.2017;10:00-11:00;712;21.03.2017;10;712
21.03.2017;11:00-12:00;707;21.03.2017;11;707
21.03.2017;12:00-13:00;686;21.03.2017;12;686
21.03.2017;13:00-14:00;692;21.03.2017;13;692
21.03.2017;14:00-15:00;683;21.03.2017;14;683
21.03.2017;15:00-16:00;673;21.03.2017;15;673
21.03.2017;16:00-17:00;659;21.03.2017;16;659
21.03.2017;17:00-18:00;643;21.03.2017;17;643
21.03.2017;18:00-19:00;657;21.03.2017;18;657
21.03.2017;19:00-20:00;707;21.03.2017;19;707
21.03.2017;20:00-21:00;711;21.03.2017;20;711
21.03.2017;21:00-22:00;682;21.03.2017;21;682
21.03.2017;22:00-23:00;632;21.03.2017;22;632
21.03.2017;23:00-24:00;585;21.03.2017;23;585
22.03.2017;00:00-01:00;548;22.03.2017;0;548
22.03.2017;01:00-02:00;529;22.03.2017;1;529
22.03.2017;02:00-03:00;521;22.03.2017;2;521
22.03.2017;03:00-04:00;518;22.03.2017;3;518
22.03.2017;04:00-05:00;522;22.03.2017;4;522
22.03.2017;05:00-06:00;539;22.03.2017;5;539
22.03.2017;06:00-07:00;572;22.03.2017;6;572
22.03.2017;07:00-08:00;611;22.03.2017;7;611
22.03.2017;08:00-09:00;670;22.03.2017;8;670
22.03.2017;09:00-10:00;697;22.03.2017;9;697
22.03.2017;10:00-11:00;696;22.03.2017;10;696
22.03.2017;11:00-12:00;689;22.03.2017;11;689
22.03.2017;12:00-13:00;672;22.03.2017;12;672
22.03.2017;13:00-14:00;681;22.03.2017;13;681
22.03.2017;14:00-15:00;678;22.03.2017;14;678
22.03.2017;15:00-16:00;669;22.03.2017;15;669
22.03.2017;16:00-17:00;654;22.03.2017;16;654
22.03.2017;17:00-18:00;646;22.03.2017;17;646
22.03.2017;18:00-19:00;665;22.03.2017;18;665
22.03.2017;19:00-20:00;705;22.03.2017;19;705
22.03.2017;20:00-21:00;702;22.03.2017;20;702
22.03.2017;21:00-22:00;673;22.03.2017;21;673
22.03.2017;22:00-23:00;621;22.03.2017;22;621
22.03.2017;23:00-24:00;571;22.03.2017;23;571
23.03.2017;00:00-01:00;534;23.03.2017;0;534
23.03.2017;01:00-02:00;514;23.03.2017;1;514
23.03.2017;02:00-03:00;506;23.03.2017;2;506
23.03.2017;03:00-04:00;503;23.03.2017;3;503
23.03.2017;04:00-05:00;509;23.03.2017;4;509
23.03.2017;05:00-06:00;530;23.03.2017;5;530
23.03.2017;06:00-07:00;562;23.03.2017;6;562
23.03.2017;07:00-08:00;608;23.03.2017;7;608
23.03.2017;08:00-09:00;663;23.03.2017;8;663
23.03.2017;09:00-10:00;687;23.03.2017;9;687
23.03.2017;10:00-11:00;682;23.03.2017;10;682
23.03.2017;11:00-12:00;673;23.03.2017;11;673
23.03.2017;12:00-13:00;654;23.03.2017;12;654
23.03.2017;13:00-14:00;662;23.03.2017;13;662
23.03.2017;14:00-15:00;655;23.03.2017;14;655
23.03.2017;15:00-16:00;652;23.03.2017;15;652
23.03.2017;16:00-17:00;640;23.03.2017;16;640
23.03.2017;17:00-18:00;628;23.03.2017;17;628
23.03.2017;18:00-19:00;637;23.03.2017;18;637
23.03.2017;19:00-20:00;687;23.03.2017;19;687
23.03.2017;20:00-21:00;699;23.03.2017;20;699
23.03.2017;21:00-22:00;672;23.03.2017;21;672
23.03.2017;22:00-23:00;622;23.03.2017;22;622
23.03.2017;23:00-24:00;573;23.03.2017;23;573
24.03.2017;00:00-01:00;538;24.03.2017;0;538
24.03.2017;01:00-02:00;518;24.03.2017;1;518
24.03.2017;02:00-03:00;507;24.03.2017;2;507
24.03.2017;03:00-04:00;507;24.03.2017;3;507
24.03.2017;04:00-05:00;511;24.03.2017;4;511
24.03.2017;05:00-06:00;531;24.03.2017;5;531
24.03.2017;06:00-07:00;561;24.03.2017;6;561
24.03.2017;07:00-08:00;611;24.03.2017;7;611
24.03.2017;08:00-09:00;668;24.03.2017;8;668
24.03.2017;09:00-10:00;700;24.03.2017;9;700
24.03.2017;10:00-11:00;702;24.03.2017;10;702
24.03.2017;11:00-12:00;696;24.03.2017;11;696
24.03.2017;12:00-13:00;679;24.03.2017;12;679
24.03.2017;13:00-14:00;690;24.03.2017;13;690
24.03.2017;14:00-15:00;683;24.03.2017;14;683
24.03.2017;15:00-16:00;674;24.03.2017;15;674
24.03.2017;16:00-17:00;659;24.03.2017;16;659
24.03.2017;17:00-18:00;645;24.03.2017;17;645
24.03.2017;18:00-19:00;656;24.03.2017;18;656
24.03.2017;19:00-20:00;697;24.03.2017;19;697
24.03.2017;20:00-21:00;707;24.03.2017;20;707
24.03.2017;21:00-22:00;679;24.03.2017;21;679
24.03.2017;22:00-23:00;637;24.03.2017;22;637
24.03.2017;23:00-24:00;592;24.03.2017;23;592
25.03.2017;00:00-01:00;556;25.03.2017;0;556
25.03.2017;01:00-02:00;534;25.03.2017;1;534
25.03.2017;02:00-03:00;523;25.03.2017;2;523
25.03.2017;03:00-04:00;518;25.03.2017;3;518
25.03.2017;04:00-05:00;517;25.03.2017;4;517
25.03.2017;05:00-06:00;527;25.03.2017;5;527
25.03.2017;06:00-07:00;524;25.03.2017;6;524
25.03.2017;07:00-08:00;552;25.03.2017;7;552
25.03.2017;08:00-09:00;596;25.03.2017;8;596
25.03.2017;09:00-10:00;626;25.03.2017;9;626
25.03.2017;10:00-11:00;636;25.03.2017;10;636
25.03.2017;11:00-12:00;633;25.03.2017;11;633
25.03.2017;12:00-13:00;625;25.03.2017;12;625
25.03.2017;13:00-14:00;618;25.03.2017;13;618
25.03.2017;14:00-15:00;613;25.03.2017;14;613
25.03.2017;15:00-16:00;604;25.03.2017;15;604
25.03.2017;16:00-17:00;598;25.03.2017;16;598
25.03.2017;17:00-18:00;599;25.03.2017;17;599
25.03.2017;18:00-19:00;610;25.03.2017;18;610
25.03.2017;19:00-20:00;660;25.03.2017;19;660
25.03.2017;20:00-21:00;680;25.03.2017;20;680
25.03.2017;21:00-22:00;656;25.03.2017;21;656
25.03.2017;22:00-23:00;619;25.03.2017;22;619
25.03.2017;23:00-24:00;579;25.03.2017;23;579
26.03.2017;00:00-01:00;546;26.03.2017;0;546
26.03.2017;01:00-02:00;525;26.03.2017;1;525
26.03.2017;02:00-03:00;512;26.03.2017;2;512
26.03.2017;03:00-04:00;505;26.03.2017;3;505
26.03.2017;04:00-05:00;504;26.03.2017;4;504
26.03.2017;05:00-06:00;512;26.03.2017;5;512
26.03.2017;06:00-07:00;506;26.03.2017;6;506
26.03.2017;07:00-08:00;526;26.03.2017;7;526
26.03.2017;08:00-09:00;565;26.03.2017;8;565
26.03.2017;09:00-10:00;599;26.03.2017;9;599
26.03.2017;10:00-11:00;610;26.03.2017;10;610
26.03.2017;11:00-12:00;609;26.03.2017;11;609
26.03.2017;12:00-13:00;604;26.03.2017;12;604
26.03.2017;13:00-14:00;604;26.03.2017;13;604
26.03.2017;14:00-15:00;600;26.03.2017;14;600
26.03.2017;15:00-16:00;599;26.03.2017;15;599
26.03.2017;16:00-17:00;606;26.03.2017;16;606
26.03.2017;17:00-18:00;617;26.03.2017;17;617
26.03.2017;18:00-19:00;635;26.03.2017;18;635
26.03.2017;19:00-20:00;671;26.03.2017;19;671
26.03.2017;20:00-21:00;680;26.03.2017;20;680
26.03.2017;21:00-22:00;656;26.03.2017;21;656
26.03.2017;22:00-23:00;611;26.03.2017;22;611
26.03.2017;23:00-24:00;567;26.03.2017;23;567
27.03.2017;00:00-01:00;532;27.03.2017;0;532
27.03.2017;01:00-02:00;511;27.03.2017;1;511
27.03.2017;02:00-03:00;501;27.03.2017;2;501
27.03.2017;03:00-04:00;496;27.03.2017;3;496
27.03.2017;04:00-05:00;500;27.03.2017;4;500
27.03.2017;05:00-06:00;509;27.03.2017;5;509
27.03.2017;06:00-07:00;540;27.03.2017;6;540
27.03.2017;07:00-08:00;594;27.03.2017;7;594
27.03.2017;08:00-09:00;660;27.03.2017;8;660
27.03.2017;09:00-10:00;697;27.03.2017;9;697
27.03.2017;10:00-11:00;703;27.03.2017;10;703
27.03.2017;11:00-12:00;700;27.03.2017;11;700
27.03.2017;12:00-13:00;689;27.03.2017;12;689
27.03.2017;13:00-14:00;696;27.03.2017;13;696
27.03.2017;14:00-15:00;689;27.03.2017;14;689
27.03.2017;15:00-16:00;681;27.03.2017;15;681
27.03.2017;16:00-17:00;668;27.03.2017;16;668
27.03.2017;17:00-18:00;651;27.03.2017;17;651
27.03.2017;18:00-19:00;659;27.03.2017;18;659
27.03.2017;19:00-20:00;695;27.03.2017;19;695
27.03.2017;20:00-21:00;704;27.03.2017;20;704
27.03.2017;21:00-22:00;677;27.03.2017;21;677
27.03.2017;22:00-23:00;628;27.03.2017;22;628
27.03.2017;23:00-24:00;578;27.03.2017;23;578
28.03.2017;00:00-01:00;542;28.03.2017;0;542
28.03.2017;01:00-02:00;524;28.03.2017;1;524
28.03.2017;02:00-03:00;517;28.03.2017;2;517
28.03.2017;03:00-04:00;512;28.03.2017;3;512
28.03.2017;04:00-05:00;514;28.03.2017;4;514
28.03.2017;05:00-06:00;525;28.03.2017;5;525
28.03.2017;06:00-07:00;549;28.03.2017;6;549
28.03.2017;07:00-08:00;599;28.03.2017;7;599
28.03.2017;08:00-09:00;664;28.03.2017;8;664
28.03.2017;09:00-10:00;695;28.03.2017;9;695
28.03.2017;10:00-11:00;699;28.03.2017;10;699
28.03.2017;11:00-12:00;693;28.03.2017;11;693
28.03.2017;12:00-13:00;674;28.03.2017;12;674
28.03.2017;13:00-14:00;683;28.03.2017;13;683
28.03.2017;14:00-15:00;679;28.03.2017;14;679
28.03.2017;15:00-16:00;667;28.03.2017;15;667
28.03.2017;16:00-17:00;651;28.03.2017;16;651
28.03.2017;17:00-18:00;634;28.03.2017;17;634
28.03.2017;18:00-19:00;641;28.03.2017;18;641
28.03.2017;19:00-20:00;682;28.03.2017;19;682
28.03.2017;20:00-21:00;707;28.03.2017;20;707
28.03.2017;21:00-22:00;682;28.03.2017;21;682
28.03.2017;22:00-23:00;632;28.03.2017;22;632
28.03.2017;23:00-24:00;585;28.03.2017;23;585
29.03.2017;00:00-01:00;551;29.03.2017;0;551
29.03.2017;01:00-02:00;531;29.03.2017;1;531
29.03.2017;02:00-03:00;520;29.03.2017;2;520
29.03.2017;03:00-04:00;516;29.03.2017;3;516
29.03.2017;04:00-05:00;524;29.03.2017;4;524
29.03.2017;05:00-06:00;539;29.03.2017;5;539
29.03.2017;06:00-07:00;560;29.03.2017;6;560
29.03.2017;07:00-08:00;610;29.03.2017;7;610
29.03.2017;08:00-09:00;671;29.03.2017;8;671
29.03.2017;09:00-10:00;717;29.03.2017;9;717
29.03.2017;10:00-11:00;720;29.03.2017;10;720
29.03.2017;11:00-12:00;715;29.03.2017;11;715
29.03.2017;12:00-13:00;695;29.03.2017;12;695
29.03.2017;13:00-14:00;701;29.03.2017;13;701
29.03.2017;14:00-15:00;693;29.03.2017;14;693
29.03.2017;15:00-16:00;684;29.03.2017;15;684
29.03.2017;16:00-17:00;671;29.03.2017;16;671
29.03.2017;17:00-18:00;658;29.03.2017;17;658
29.03.2017;18:00-19:00;666;29.03.2017;18;666
29.03.2017;19:00-20:00;704;29.03.2017;19;704
29.03.2017;20:00-21:00;724;29.03.2017;20;724
29.03.2017;21:00-22:00;695;29.03.2017;21;695
29.03.2017;22:00-23:00;643;29.03.2017;22;643
29.03.2017;23:00-24:00;596;29.03.2017;23;596
30.03.2017;00:00-01:00;559;30.03.2017;0;559
30.03.2017;01:00-02:00;538;30.03.2017;1;538
30.03.2017;02:00-03:00;532;30.03.2017;2;532
30.03.2017;03:00-04:00;528;30.03.2017;3;528
30.03.2017;04:00-05:00;535;30.03.2017;4;535
30.03.2017;05:00-06:00;546;30.03.2017;5;546
30.03.2017;06:00-07:00;566;30.03.2017;6;566
30.03.2017;07:00-08:00;615;30.03.2017;7;615
30.03.2017;08:00-09:00;673;30.03.2017;8;673
30.03.2017;09:00-10:00;705;30.03.2017;9;705
30.03.2017;10:00-11:00;708;30.03.2017;10;708
30.03.2017;11:00-12:00;708;30.03.2017;11;708
30.03.2017;12:00-13:00;695;30.03.2017;12;695
30.03.2017;13:00-14:00;703;30.03.2017;13;703
30.03.2017;14:00-15:00;696;30.03.2017;14;696
30.03.2017;15:00-16:00;686;30.03.2017;15;686
30.03.2017;16:00-17:00;672;30.03.2017;16;672
30.03.2017;17:00-18:00;659;30.03.2017;17;659
30.03.2017;18:00-19:00;663;30.03.2017;18;663
30.03.2017;19:00-20:00;709;30.03.2017;19;709
30.03.2017;20:00-21:00;740;30.03.2017;20;740
30.03.2017;21:00-22:00;713;30.03.2017;21;713
30.03.2017;22:00-23:00;664;30.03.2017;22;664
30.03.2017;23:00-24:00;614;30.03.2017;23;614
31.03.2017;00:00-01:00;574;31.03.2017;0;574
31.03.2017;01:00-02:00;552;31.03.2017;1;552
31.03.2017;02:00-03:00;545;31.03.2017;2;545
31.03.2017;03:00-04:00;541;31.03.2017;3;541
31.03.2017;04:00-05:00;546;31.03.2017;4;546
31.03.2017;05:00-06:00;560;31.03.2017;5;560
31.03.2017;06:00-07:00;587;31.03.2017;6;587
31.03.2017;07:00-08:00;641;31.03.2017;7;641
31.03.2017;08:00-09:00;702;31.03.2017;8;702
31.03.2017;09:00-10:00;736;31.03.2017;9;736
31.03.2017;10:00-11:00;738;31.03.2017;10;738
31.03.2017;11:00-12:00;730;31.03.2017;11;730
31.03.2017;12:00-13:00;712;31.03.2017;12;712
31.03.2017;13:00-14:00;721;31.03.2017;13;721
31.03.2017;14:00-15:00;717;31.03.2017;14;717
31.03.2017;15:00-16:00;711;31.03.2017;15;711
31.03.2017;16:00-17:00;696;31.03.2017;16;696
31.03.2017;17:00-18:00;687;31.03.2017;17;687
31.03.2017;18:00-19:00;693;31.03.2017;18;693
31.03.2017;19:00-20:00;721;31.03.2017;19;721
31.03.2017;20:00-21:00;734;31.03.2017;20;734
31.03.2017;21:00-22:00;704;31.03.2017;21;704
31.03.2017;22:00-23:00;661;31.03.2017;22;661
31.03.2017;23:00-24:00;617;31.03.2017;23;617
01.04.2017;00:00-01:00;577;01.04.2017;0;577
01.04.2017;01:00-02:00;550;01.04.2017;1;550
01.04.2017;02:00-03:00;536;01.04.2017;2;536
01.04.2017;03:00-04:00;533;01.04.2017;3;533
01.04.2017;04:00-05:00;534;01.04.2017;4;534
01.04.2017;05:00-06:00;540;01.04.2017;5;540
01.04.2017;06:00-07:00;541;01.04.2017;6;541
01.04.2017;07:00-08:00;568;01.04.2017;7;568
01.04.2017;08:00-09:00;611;01.04.2017;8;611
01.04.2017;09:00-10:00;643;01.04.2017;9;643
01.04.2017;10:00-11:00;650;01.04.2017;10;650
01.04.2017;11:00-12:00;645;01.04.2017;11;645
01.04.2017;12:00-13:00;634;01.04.2017;12;634
01.04.2017;13:00-14:00;630;01.04.2017;13;630
01.04.2017;14:00-15:00;623;01.04.2017;14;623
01.04.2017;15:00-16:00;615;01.04.2017;15;615
01.04.2017;16:00-17:00;609;01.04.2017;16;609
01.04.2017;17:00-18:00;609;01.04.2017;17;609
01.04.2017;18:00-19:00;619;01.04.2017;18;619
01.04.2017;19:00-20:00;658;01.04.2017;19;658
01.04.2017;20:00-21:00;686;01.04.2017;20;686
01.04.2017;21:00-22:00;666;01.04.2017;21;666
01.04.2017;22:00-23:00;630;01.04.2017;22;630
01.04.2017;23:00-24:00;590;01.04.2017;23;590
02.04.2017;00:00-01:00;555;02.04.2017;0;555
02.04.2017;01:00-02:00;528;02.04.2017;1;528
02.04.2017;02:00-03:00;517;02.04.2017;2;517
02.04.2017;03:00-04:00;511;02.04.2017;3;511
02.04.2017;04:00-05:00;512;02.04.2017;4;512
02.04.2017;05:00-06:00;515;02.04.2017;5;515
02.04.2017;06:00-07:00;513;02.04.2017;6;513
02.04.2017;07:00-08:00;529;02.04.2017;7;529
02.04.2017;08:00-09:00;569;02.04.2017;8;569
02.04.2017;09:00-10:00;607;02.04.2017;9;607
02.04.2017;10:00-11:00;625;02.04.2017;10;625
02.04.2017;11:00-12:00;626;02.04.2017;11;626
02.04.2017;12:00-13:00;621;02.04.2017;12;621
02.04.2017;13:00-14:00;616;02.04.2017;13;616
02.04.2017;14:00-15:00;606;02.04.2017;14;606
02.04.2017;15:00-16:00;597;02.04.2017;15;597
02.04.2017;16:00-17:00;593;02.04.2017;16;593
02.04.2017;17:00-18:00;593;02.04.2017;17;593
02.04.2017;18:00-19:00;602;02.04.2017;18;602
02.04.2017;19:00-20:00;637;02.04.2017;19;637
02.04.2017;20:00-21:00;667;02.04.2017;20;667
02.04.2017;21:00-22:00;644;02.04.2017;21;644
02.04.2017;22:00-23:00;598;02.04.2017;22;598
02.04.2017;23:00-24:00;552;02.04.2017;23;552
03.04.2017;00:00-01:00;517;03.04.2017;0;517
03.04.2017;01:00-02:00;496;03.04.2017;1;496
03.04.2017;02:00-03:00;484;03.04.2017;2;484
03.04.2017;03:00-04:00;481;03.04.2017;3;481
03.04.2017;04:00-05:00;487;03.04.2017;4;487
03.04.2017;05:00-06:00;505;03.04.2017;5;505
03.04.2017;06:00-07:00;545;03.04.2017;6;545
03.04.2017;07:00-08:00;606;03.04.2017;7;606
03.04.2017;08:00-09:00;667;03.04.2017;8;667
03.04.2017;09:00-10:00;704;03.04.2017;9;704
03.04.2017;10:00-11:00;715;03.04.2017;10;715
03.04.2017;11:00-12:00;713;03.04.2017;11;713
03.04.2017;12:00-13:00;695;03.04.2017;12;695
03.04.2017;13:00-14:00;702;03.04.2017;13;702
03.04.2017;14:00-15:00;695;03.04.2017;14;695
03.04.2017;15:00-16:00;685;03.04.2017;15;685
03.04.2017;16:00-17:00;671;03.04.2017;16;671
03.04.2017;17:00-18:00;663;03.04.2017;17;663
03.04.2017;18:00-19:00;671;03.04.2017;18;671
03.04.2017;19:00-20:00;696;03.04.2017;19;696
03.04.2017;20:00-21:00;708;03.04.2017;20;708
03.04.2017;21:00-22:00;678;03.04.2017;21;678
03.04.2017;22:00-23:00;629;03.04.2017;22;629
03.04.2017;23:00-24:00;578;03.04.2017;23;578
04.04.2017;00:00-01:00;542;04.04.2017;0;542
04.04.2017;01:00-02:00;519;04.04.2017;1;519
04.04.2017;02:00-03:00;511;04.04.2017;2;511
04.04.2017;03:00-04:00;507;04.04.2017;3;507
04.04.2017;04:00-05:00;514;04.04.2017;4;514
04.04.2017;05:00-06:00;528;04.04.2017;5;528
04.04.2017;06:00-07:00;563;04.04.2017;6;563
04.04.2017;07:00-08:00;618;04.04.2017;7;618
04.04.2017;08:00-09:00;679;04.04.2017;8;679
04.04.2017;09:00-10:00;713;04.04.2017;9;713
04.04.2017;10:00-11:00;712;04.04.2017;10;712
04.04.2017;11:00-12:00;702;04.04.2017;11;702
04.04.2017;12:00-13:00;683;04.04.2017;12;683
04.04.2017;13:00-14:00;691;04.04.2017;13;691
04.04.2017;14:00-15:00;684;04.04.2017;14;684
04.04.2017;15:00-16:00;676;04.04.2017;15;676
04.04.2017;16:00-17:00;665;04.04.2017;16;665
04.04.2017;17:00-18:00;654;04.04.2017;17;654
04.04.2017;18:00-19:00;664;04.04.2017;18;664
04.04.2017;19:00-20:00;690;04.04.2017;19;690
04.04.2017;20:00-21:00;707;04.04.2017;20;707
04.04.2017;21:00-22:00;678;04.04.2017;21;678
04.04.2017;22:00-23:00;630;04.04.2017;22;630
04.04.2017;23:00-24:00;579;04.04.2017;23;579
05.04.2017;00:00-01:00;541;05.04.2017;0;541
05.04.2017;01:00-02:00;521;05.04.2017;1;521
05.04.2017;02:00-03:00;513;05.04.2017;2;513
05.04.2017;03:00-04:00;509;05.04.2017;3;509
05.04.2017;04:00-05:00;516;05.04.2017;4;516
05.04.2017;05:00-06:00;526;05.04.2017;5;526
05.04.2017;06:00-07:00;558;05.04.2017;6;558
05.04.2017;07:00-08:00;611;05.04.2017;7;611
05.04.2017;08:00-09:00;665;05.04.2017;8;665
05.04.2017;09:00-10:00;690;05.04.2017;9;690
05.04.2017;10:00-11:00;683;05.04.2017;10;683
05.04.2017;11:00-12:00;673;05.04.2017;11;673
05.04.2017;12:00-13:00;652;05.04.2017;12;652
05.04.2017;13:00-14:00;652;05.04.2017;13;652
05.04.2017;14:00-15:00;650;05.04.2017;14;650
05.04.2017;15:00-16:00;635;05.04.2017;15;635
05.04.2017;16:00-17:00;619;05.04.2017;16;619
05.04.2017;17:00-18:00;604;05.04.2017;17;604
05.04.2017;18:00-19:00;608;05.04.2017;18;608
05.04.2017;19:00-20:00;642;05.04.2017;19;642
05.04.2017;20:00-21:00;678;05.04.2017;20;678
05.04.2017;21:00-22:00;654;05.04.2017;21;654
05.04.2017;22:00-23:00;609;05.04.2017;22;609
05.04.2017;23:00-24:00;556;05.04.2017;23;556
06.04.2017;00:00-01:00;518;06.04.2017;0;518
06.04.2017;01:00-02:00;498;06.04.2017;1;498
06.04.2017;02:00-03:00;490;06.04.2017;2;490
06.04.2017;03:00-04:00;488;06.04.2017;3;488
06.04.2017;04:00-05:00;494;06.04.2017;4;494
06.04.2017;05:00-06:00;504;06.04.2017;5;504
06.04.2017;06:00-07:00;535;06.04.2017;6;535
06.04.2017;07:00-08:00;594;06.04.2017;7;594
06.04.2017;08:00-09:00;653;06.04.2017;8;653
06.04.2017;09:00-10:00;682;06.04.2017;9;682
06.04.2017;10:00-11:00;678;06.04.2017;10;678
06.04.2017;11:00-12:00;670;06.04.2017;11;670
06.04.2017;12:00-13:00;649;06.04.2017;12;649
06.04.2017;13:00-14:00;662;06.04.2017;13;662
06.04.2017;14:00-15:00;653;06.04.2017;14;653
06.04.2017;15:00-16:00;643;06.04.2017;15;643
06.04.2017;16:00-17:00;642;06.04.2017;16;642
06.04.2017;17:00-18:00;637;06.04.2017;17;637
06.04.2017;18:00-19:00;649;06.04.2017;18;649
06.04.2017;19:00-20:00;664;06.04.2017;19;664
06.04.2017;20:00-21:00;684;06.04.2017;20;684
06.04.2017;21:00-22:00;655;06.04.2017;21;655
06.04.2017;22:00-23:00;606;06.04.2017;22;606
06.04.2017;23:00-24:00;558;06.04.2017;23;558
07.04.2017;00:00-01:00;522;07.04.2017;0;522
07.04.2017;01:00-02:00;501;07.04.2017;1;501
07.04.2017;02:00-03:00;490;07.04.2017;2;490
07.04.2017;03:00-04:00;488;07.04.2017;3;488
07.04.2017;04:00-05:00;491;07.04.2017;4;491
07.04.2017;05:00-06:00;506;07.04.2017;5;506
07.04.2017;06:00-07:00;541;07.04.2017;6;541
07.04.2017;07:00-08:00;597;07.04.2017;7;597
07.04.2017;08:00-09:00;655;07.04.2017;8;655
07.04.2017;09:00-10:00;684;07.04.2017;9;684
07.04.2017;10:00-11:00;682;07.04.2017;10;682
07.04.2017;11:00-12:00;681;07.04.2017;11;681
07.04.2017;12:00-13:00;658;07.04.2017;12;658
07.04.2017;13:00-14:00;668;07.04.2017;13;668
07.04.2017;14:00-15:00;665;07.04.2017;14;665
07.04.2017;15:00-16:00;657;07.04.2017;15;657
07.04.2017;16:00-17:00;650;07.04.2017;16;650
07.04.2017;17:00-18:00;642;07.04.2017;17;642
07.04.2017;18:00-19:00;645;07.04.2017;18;645
07.04.2017;19:00-20:00;665;07.04.2017;19;665
07.04.2017;20:00-21:00;686;07.04.2017;20;686
07.04.2017;21:00-22:00;663;07.04.2017;21;663
07.04.2017;22:00-23:00;617;07.04.2017;22;617
07.04.2017;23:00-24:00;571;07.04.2017;23;571
08.04.2017;00:00-01:00;534;08.04.2017;0;534
08.04.2017;01:00-02:00;510;08.04.2017;1;510
08.04.2017;02:00-03:00;497;08.04.2017;2;497
08.04.2017;03:00-04:00;490;08.04.2017;3;490
08.04.2017;04:00-05:00;490;08.04.2017;4;490
08.04.2017;05:00-06:00;490;08.04.2017;5;490
08.04.2017;06:00-07:00;492;08.04.2017;6;492
08.04.2017;07:00-08:00;525;08.04.2017;7;525
08.04.2017;08:00-09:00;569;08.04.2017;8;569
08.04.2017;09:00-10:00;600;08.04.2017;9;600
08.04.2017;10:00-11:00;609;08.04.2017;10;609
08.04.2017;11:00-12:00;609;08.04.2017;11;609
08.04.2017;12:00-13:00;601;08.04.2017;12;601
08.04.2017;13:00-14:00;594;08.04.2017;13;594
08.04.2017;14:00-15:00;591;08.04.2017;14;591
08.04.2017;15:00-16:00;590;08.04.2017;15;590
08.04.2017;16:00-17:00;591;08.04.2017;16;591
08.04.2017;17:00-18:00;597;08.04.2017;17;597
08.04.2017;18:00-19:00;606;08.04.2017;18;606
08.04.2017;19:00-20:00;627;08.04.2017;19;627
08.04.2017;20:00-21:00;657;08.04.2017;20;657
08.04.2017;21:00-22:00;640;08.04.2017;21;640
08.04.2017;22:00-23:00;605;08.04.2017;22;605
08.04.2017;23:00-24:00;565;08.04.2017;23;565
09.04.2017;00:00-01:00;530;09.04.2017;0;530
09.04.2017;01:00-02:00;503;09.04.2017;1;503
09.04.2017;02:00-03:00;490;09.04.2017;2;490
09.04.2017;03:00-04:00;487;09.04.2017;3;487
09.04.2017;04:00-05:00;489;09.04.2017;4;489
09.04.2017;05:00-06:00;485;09.04.2017;5;485
09.04.2017;06:00-07:00;484;09.04.2017;6;484
09.04.2017;07:00-08:00;510;09.04.2017;7;510
09.04.2017;08:00-09:00;548;09.04.2017;8;548
09.04.2017;09:00-10:00;574;09.04.2017;9;574
09.04.2017;10:00-11:00;580;09.04.2017;10;580
09.04.2017;11:00-12:00;577;09.04.2017;11;577
09.04.2017;12:00-13:00;573;09.04.2017;12;573
09.04.2017;13:00-14:00;569;09.04.2017;13;569
09.04.2017;14:00-15:00;564;09.04.2017;14;564
09.04.2017;15:00-16:00;558;09.04.2017;15;558
