Дата;Местное время Тверь;Потребление факт, МВтч;;;
05.01.2017;17:00-18:00;810;05.01.2017;17;810
05.01.2017;18:00-19:00;815;05.01.2017;18;815
05.01.2017;19:00-20:00;814;05.01.2017;19;814
05.01.2017;20:00-21:00;799;05.01.2017;20;799
05.01.2017;21:00-22:00;775;05.01.2017;21;775
05.01.2017;22:00-23:00;742;05.01.2017;22;742
05.01.2017;23:00-24:00;711;05.01.2017;23;711
06.01.2017;00:00-01:00;674;06.01.2017;0;674
06.01.2017;01:00-02:00;646;06.01.2017;1;646
06.01.2017;02:00-03:00;633;06.01.2017;2;633
06.01.2017;03:00-04:00;623;06.01.2017;3;623
06.01.2017;04:00-05:00;624;06.01.2017;4;624
06.01.2017;05:00-06:00;635;06.01.2017;5;635
06.01.2017;06:00-07:00;657;06.01.2017;6;657
06.01.2017;07:00-08:00;688;06.01.2017;7;688
06.01.2017;08:00-09:00;731;06.01.2017;8;731
06.01.2017;09:00-10:00;756;06.01.2017;9;756
06.01.2017;10:00-11:00;783;06.01.2017;10;783
06.01.2017;11:00-12:00;798;06.01.2017;11;798
06.01.2017;12:00-13:00;801;06.01.2017;12;801
06.01.2017;13:00-14:00;797;06.01.2017;13;797
06.01.2017;14:00-15:00;793;06.01.2017;14;793
06.01.2017;15:00-16:00;792;06.01.2017;15;792
06.01.2017;16:00-17:00;818;06.01.2017;16;818
06.01.2017;17:00-18:00;865;06.01.2017;17;865
06.01.2017;18:00-19:00;867;06.01.2017;18;867
06.01.2017;19:00-20:00;858;06.01.2017;19;858
06.01.2017;20:00-21:00;847;06.01.2017;20;847
06.01.2017;21:00-22:00;823;06.01.2017;21;823
06.01.2017;22:00-23:00;789;06.01.2017;22;789
06.01.2017;23:00-24:00;753;06.01.2017;23;753
07.01.2017;00:00-01:00;717;07.01.2017;0;717
07.01.2017;01:00-02:00;687;07.01.2017;1;687
07.01.2017;02:00-03:00;671;07.01.2017;2;671
07.01.2017;03:00-04:00;669;07.01.2017;3;669
07.01.2017;04:00-05:00;669;07.01.2017;4;669
07.01.2017;05:00-06:00;675;07.01.2017;5;675
07.01.2017;06:00-07:00;691;07.01.2017;6;691
07.01.2017;07:00-08:00;710;07.01.2017;7;710
07.01.2017;08:00-09:00;738;07.01.2017;8;738
07.01.2017;09:00-10:00;761;07.01.2017;9;761
07.01.2017;10:00-11:00;788;07.01.2017;10;788
07.01.2017;11:00-12:00;803;07.01.2017;11;803
07.01.2017;12:00-13:00;805;07.01.2017;12;805
07.01.2017;13:00-14:00;803;07.01.2017;13;803
07.01.2017;14:00-15:00;799;07.01.2017;14;799
07.01.2017;15:00-16:00;798;07.01.2017;15;798
07.01.2017;16:00-17:00;828;07.01.2017;16;828
07.01.2017;17:00-18:00;870;07.01.2017;17;870
07.01.2017;18:00-19:00;875;07.01.2017;18;875
07.01.2017;19:00-20:00;871;07.01.2017;19;871
07.01.2017;20:00-21:00;861;07.01.2017;20;861
07.01.2017;21:00-22:00;841;07.01.2017;21;841
07.01.2017;22:00-23:00;814;07.01.2017;22;814
07.01.2017;23:00-24:00;779;07.01.2017;23;779
08.01.2017;00:00-01:00;742;08.01.2017;0;742
08.01.2017;01:00-02:00;714;08.01.2017;1;714
08.01.2017;02:00-03:00;697;08.01.2017;2;697
08.01.2017;03:00-04:00;690;08.01.2017;3;690
08.01.2017;04:00-05:00;689;08.01.2017;4;689
08.01.2017;05:00-06:00;694;08.01.2017;5;694
08.01.2017;06:00-07:00;710;08.01.2017;6;710
08.01.2017;07:00-08:00;733;08.01.2017;7;733
08.01.2017;08:00-09:00;766;08.01.2017;8;766
08.01.2017;09:00-10:00;793;08.01.2017;9;793
08.01.2017;10:00-11:00;823;08.01.2017;10;823
08.01.2017;11:00-12:00;837;08.01.2017;11;837
08.01.2017;12:00-13:00;839;08.01.2017;12;839
08.01.2017;13:00-14:00;836;08.01.2017;13;836
08.01.2017;14:00-15:00;832;08.01.2017;14;832
08.01.2017;15:00-16:00;833;08.01.2017;15;833
08.01.2017;16:00-17:00;859;08.01.2017;16;859
08.01.2017;17:00-18:00;901;08.01.2017;17;901
08.01.2017;18:00-19:00;908;08.01.2017;18;908
08.01.2017;19:00-20:00;904;08.01.2017;19;904
08.01.2017;20:00-21:00;895;08.01.2017;20;895
08.01.2017;21:00-22:00;872;08.01.2017;21;872
08.01.2017;22:00-23:00;834;08.01.2017;22;834
08.01.2017;23:00-24:00;790;08.01.2017;23;790
09.01.2017;00:00-01:00;746;09.01.2017;0;746
09.01.2017;01:00-02:00;716;09.01.2017;1;716
09.01.2017;02:00-03:00;706;09.01.2017;2;706
09.01.2017;03:00-04:00;701;09.01.2017;3;701
09.01.2017;04:00-05:00;704;09.01.2017;4;704
09.01.2017;05:00-06:00;724;09.01.2017;5;724
09.01.2017;06:00-07:00;773;09.01.2017;6;773
09.01.2017;07:00-08:00;837;09.01.2017;7;837
09.01.2017;08:00-09:00;900;09.01.2017;8;900
09.01.2017;09:00-10:00;934;09.01.2017;9;934
09.01.2017;10:00-11:00;949;09.01.2017;10;949
09.01.2017;11:00-12:00;949;09.01.2017;11;949
09.01.2017;12:00-13:00;937;09.01.2017;12;937
09.01.2017;13:00-14:00;928;09.01.2017;13;928
09.01.2017;14:00-15:00;923;09.01.2017;14;923
09.01.2017;15:00-16:00;926;09.01.2017;15;926
09.01.2017;16:00-17:00;937;09.01.2017;16;937
09.01.2017;17:00-18:00;950;09.01.2017;17;950
09.01.2017;18:00-19:00;952;09.01.2017;18;952
09.01.2017;19:00-20:00;934;09.01.2017;19;934
09.01.2017;20:00-21:00;914;09.01.2017;20;914
09.01.2017;21:00-22:00;885;09.01.2017;21;885
09.01.2017;22:00-23:00;834;09.01.2017;22;834
09.01.2017;23:00-24:00;772;09.01.2017;23;772
10.01.2017;00:00-01:00;726;10.01.2017;0;726
10.01.2017;01:00-02:00;699;10.01.2017;1;699
10.01.2017;02:00-03:00;682;10.01.2017;2;682
10.01.2017;03:00-04:00;679;10.01.2017;3;679
10.01.2017;04:00-05:00;674;10.01.2017;4;674
10.01.2017;05:00-06:00;694;10.01.2017;5;694
10.01.2017;06:00-07:00;737;10.01.2017;6;737
10.01.2017;07:00-08:00;797;10.01.2017;7;797
10.01.2017;08:00-09:00;851;10.01.2017;8;851
10.01.2017;09:00-10:00;873;10.01.2017;9;873
10.01.2017;10:00-11:00;881;10.01.2017;10;881
10.01.2017;11:00-12:00;881;10.01.2017;11;881
10.01.2017;12:00-13:00;865;10.01.2017;12;865
10.01.2017;13:00-14:00;868;10.01.2017;13;868
10.01.2017;14:00-15:00;859;10.01.2017;14;859
10.01.2017;15:00-16:00;857;10.01.2017;15;857
10.01.2017;16:00-17:00;868;10.01.2017;16;868
10.01.2017;17:00-18:00;882;10.01.2017;17;882
10.01.2017;18:00-19:00;889;10.01.2017;18;889
10.01.2017;19:00-20:00;874;10.01.2017;19;874
10.01.2017;20:00-21:00;861;10.01.2017;20;861
10.01.2017;21:00-22:00;832;10.01.2017;21;832
10.01.2017;22:00-23:00;780;10.01.2017;22;780
10.01.2017;23:00-24:00;730;10.01.2017;23;730
11.01.2017;00:00-01:00;682;11.01.2017;0;682
11.01.2017;01:00-02:00;658;11.01.2017;1;658
11.01.2017;02:00-03:00;646;11.01.2017;2;646
11.01.2017;03:00-04:00;640;11.01.2017;3;640
11.01.2017;04:00-05:00;641;11.01.2017;4;641
11.01.2017;05:00-06:00;661;11.01.2017;5;661
11.01.2017;06:00-07:00;708;11.01.2017;6;708
11.01.2017;07:00-08:00;775;11.01.2017;7;775
11.01.2017;08:00-09:00;834;11.01.2017;8;834
11.01.2017;09:00-10:00;849;11.01.2017;9;849
11.01.2017;10:00-11:00;861;11.01.2017;10;861
