fact,pred
232350,218212.21875
227077,227919.796875
224054,211254.828125
207896,200820.734375
186767,188548.9375
191185,191623.75
202790,201122.203125
219637,214316.96875
209890,223032.546875
237388,222933.875
222853,210639.640625
201115,205154.921875
214409,218372.9375
194066,194358.515625
198537,196105.5
221432,218469.59375
209173,208568.15625
198644,184397.90625
183403,186088.71875
188881,188524.125
222975,217595.03125
216132,212139.90625
208340,209134.609375
204093,199175.28125
183766,188378.546875
185596,186171.625
236352,217374.34375
219428,211460.015625
199102,195560.34375
184147,183799.734375
188312,186825.96875
187499,198870.453125
202148,207743.53125
208806,217348.859375
198553,198102.890625
187682,187945.1875
225049,215116.796875
202614,205084.6875
186951,201057.96875
195936,189832.484375
170546,181933.546875
162132,184514
197817,205781.171875
195437,205652.671875
200902,201857.390625
186679,192548.109375
189328,185518.328125
220325,217984.46875
204519,206218.671875
197396,196759.84375
196245,194559.171875
200320,195143.40625
194317,201388.796875
206093,208066.3125
210727,206962.03125
203495,201051.640625
185056,186123.859375
209471,206216.90625
202029,213631.515625
203553,210553.078125
201611,213271.828125
188931,201486.203125
183932,191147.734375
173573,189314.328125
173815,189291.765625
177730,188447.359375
200285,202243.15625
217252,218230.953125
197640,194773.59375
189997,188975.03125
191037,183706.859375
193030,193458.84375
191861,213771.328125
200437,197989.375
197381,202580.203125
184784,192415.75
181643,187891.0625
202179,206953.34375
217537,215268.65625
186047,187828.53125
190987,191107.453125
194294,198693.390625
187648,193819.140625
174324,184430.4375
164247,176032.421875
188314,192008.8125
177027,172186.1875
169318,176177.875
176180,183473.296875
172677,187252.453125
188041,198575.578125
202214,198244.625
203811,199874.953125
194273,191414.4375
177429,175024.359375
207806,200262.078125
196460,204892.515625
194273,201123.546875
198491,194668.296875
185699,185304.203125
185740,185987.765625
177421,189701.640625
195493,198414.859375
197887,201705.1875
175675,175753.46875
162195,173891.1875
201848,200230.578125
161319,186845.203125
172896,177725.328125
203367,198252.375
189531,195090.546875
193152,192944.78125
176631,183040.21875
155133,171978.09375
199637,198572.921875
184984,187263.703125
194545,198982.203125
191181,191482.359375
198268,191366.25
197727,192175.34375
176078,183830.59375
197035,200878.578125
185832,195212.828125
195181,194540.984375
189471,185877.484375
194757,183553.96875
192937,184305.78125
199754,198743.234375
196233,198304.953125
190415,192465.125
198150,196969.1875
183031,183202.28125
199205,195376.53125
177610,183880.734375
161797,173444
163051,177751.609375
211203,193010.671875
201769,193740.40625
191255,187994.296875
176068,189507.4375
181679,178568.171875
172190,175583.921875
183991,184955.859375
221725,205384.34375
200523,195120.6875
196149,193837.25
183475,180981.421875
179134,189100.328125
193398,196777.109375
185791,189390.71875
183540,193401.484375
179537,161834.65625
181097,178390.3125
190912,187714.109375
165368,172414.25
162224,161163.28125
204355,194320.328125
192896,188104.0625
186451,186985.671875
211679,202710.65625
190119,191262.0625
187980,190401.796875
188111,182354.78125
186142,173714.828125
187260,178319.375
200010,188677.546875
182606,187592.421875
210276,208728.734375
192202,195980.796875
185224,177777.03125
182023,167909.171875
179609,169313.265625
176338,169291.640625
174890,182500.578125
185703,192538.921875
170729,167345.1875
194780,205417.84375
189879,193971.3125
200780,185163.578125
191688,186403.46875
204750,193841.125
199051,196333.796875
204302,186847.875
189082,188248.34375
177950,190433.578125
174297,180111.734375
168880,173450.78125
192250,199984.015625
180019,190536.21875
183506,183187.265625
179141,177210.828125
181954,182553.5
185156,186047.5625
180382,183625.234375
174636,183371.84375
188422,188110.515625
190828,201415.890625
182595,188786.25
163249,172400.125
170458,188293.234375
180396,181942.75
169651,165167.46875
158818,169321.015625
177616,177990.78125
209552,200901.375
176506,171119.84375
187995,182351.3125
194565,187828.359375
195002,187795.765625
147614,161729.734375
173171,173204.984375
185241,180814.421875
194307,195850.9375
188908,185943.78125
183918,182416.1875
153096,155009.765625
149579,163173.796875
192710,186795.140625
179306,184061.265625
181659,182985.765625
186007,180825.46875
189915,176273.15625
163807,157454.875
158762,163202.734375
158287,175778.109375
176421,187936.578125
176426,173208.125
186033,189095.09375
179433,180714.609375
159921,162824.96875
168981,164531.078125
165977,164654.453125
166552,164557.75
179158,178095.546875
161671,168145.21875
171839,173269.75
182835,181228.578125
205420,187653.4375
176847,177511.0625
170573,167481.6875
162631,165107.46875
210650,197431.453125
178343,183059.953125
193020,182302.96875
195013,189932.796875
186196,191822.125
181034,194357.953125
180341,188335.078125
158399,172836.203125
161921,168536.453125
165304,177965.84375
189779,187660.234375
192479,201514.828125
185133,185059.078125
174966,193872.5625
180914,189900.5625
172727,185582.921875
175371,186958.21875
192359,187362.3125
154047,159219.609375
145241,164736.125
135013,166918.34375
180732,178751.84375
168195,161268.453125
187077,189089.15625
190410,182135.09375
143046,160115.265625
153542,159450.578125
171085,169497.28125
178698,178730.03125
162834,155615.5625
163375,154614.53125
177697,188419.15625
162580,177776.703125
146798,150083.953125
144126,147321.921875
174893,176405
175325,182456.03125
168806,171761.734375
159571,157790.984375
148001,160768.3125
164938,161088.453125
175728,177607.921875
176647,187619.25
189374,180454.734375
152693,157443.609375
166702,159615.8125
172532,169721.640625
176711,182234.140625
163750,183706.328125
170877,178199.359375
160829,159930.15625
193726,191128.953125
189571,184403
171505,165445.875
164741,159007.171875
185509,190258.21875
193155,191792.125
182109,177973.984375
187949,188668.015625
188312,172081.453125
190399,185712.15625
168922,188674.125
152217,163758.234375
179308,184287.859375
186867,199336.609375
202479,205955.515625
193684,200349
200649,194899.203125
179433,180432.875
178595,181471.40625
178933,182786.40625
193896,188275.28125
175454,182102.453125
178592,168445.1875
169355,166236.34375
171828,168457.234375
190623,182971.640625
201696,199850.546875
194256,181294.4375
