date;fact
30.12.2017;275,637
30.12.2017;271,100
30.12.2017;272,207
30.12.2017;272,184
30.12.2017;274,333
30.12.2017;270,721
30.12.2017;271,795
30.12.2017;538,278
30.12.2017;274,482
30.12.2017;272,058
30.12.2017;271,822
30.12.2017;272,020
30.12.2017;271,732
30.12.2017;272,955
30.12.2017;270,043
30.12.2017;274,085
30.12.2017;271,651
30.12.2017;271,748
30.12.2017;272,341
30.12.2017;273,058
30.12.2017;270,761
30.12.2017;271,500
30.12.2017;273,226
30.12.2017;273,825
30.12.2017;270,528
30.12.2017;274,042
30.12.2017;270,729
30.12.2017;270,216
30.12.2017;271,280
30.12.2017;272,041
30.12.2017;272,136
30.12.2017;262,779
30.12.2017;277,311
29.12.2017;846,328
29.12.2017;361,156
29.12.2017;268,602
29.12.2017;271,161
29.12.2017;268,569
29.12.2017;271,144
29.12.2017;270,486
29.12.2017;270,644
29.12.2017;268,095
29.12.2017;269,422
29.12.2017;269,696
29.12.2017;270,442
29.12.2017;270,173
29.12.2017;269,172
29.12.2017;268,802
29.12.2017;270,249
29.12.2017;267,258
29.12.2017;268,259
29.12.2017;268,509
29.12.2017;271,016
29.12.2017;267,973
29.12.2017;268,823
29.12.2017;268,219
29.12.2017;268,614
29.12.2017;269,287
29.12.2017;268,806
29.12.2017;269,831
29.12.2017;267,490
29.12.2017;267,415
29.12.2017;267,660
29.12.2017;268,486
29.12.2017;269,123
29.12.2017;268,789
29.12.2017;271,801
29.12.2017;268,996
29.12.2017;269,238
29.12.2017;269,562
29.12.2017;269,586
29.12.2017;269,577
29.12.2017;270,618
29.12.2017;273,440
29.12.2017;271,217
29.12.2017;273,519
29.12.2017;269,453
29.12.2017;271,473
29.12.2017;273,580
29.12.2017;277,041
29.12.2017;195,407
29.12.2017;0,111
29.12.2017;0,090
29.12.2017;0,099
29.12.2017;0,105
29.12.2017;0,097
29.12.2017;0,100
29.12.2017;0,101
29.12.2017;0,100
29.12.2017;0,095
29.12.2017;0,096
29.12.2017;0,529
29.12.2017;0,000
29.12.2017;0,102
29.12.2017;0,025
29.12.2017;0,096
29.12.2017;0,248
29.12.2017;0,262
29.12.2017;0,118
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,661
29.12.2017;0,001
29.12.2017;0,000
29.12.2017;0,000
